file,predicted_class,predicted_strength,prob_negative,prob_neutral,prob_positive,text_valid_bins,audio_valid_bins,vision_valid_bins
附件3_01.pkl,Negative,-1.0068989992141724,0.7651667594909668,0.12904946506023407,0.10578377544879913,8,6,6
附件3_02.pkl,Neutral,-0.07392337918281555,0.3407156467437744,0.5126084685325623,0.14667588472366333,30,23,23
附件3_03.pkl,Positive,0.3199560344219208,0.1708299070596695,0.3393768072128296,0.4897933304309845,34,27,23
附件3_04.pkl,Positive,0.5490505695343018,0.0591907724738121,0.4015394449234009,0.539269745349884,33,29,29
附件3_05.pkl,Negative,-1.633527159690857,0.9243239760398865,0.04777411371469498,0.027901925146579742,14,12,12
附件3_06.pkl,Positive,1.1139719486236572,0.011718573980033398,0.070329450070858,0.9179520010948181,27,22,22
附件3_07.pkl,Negative,-0.20365339517593384,0.4720892012119293,0.27971696853637695,0.24819380044937134,23,18,18
附件3_08.pkl,Negative,-0.7357985377311707,0.6298138499259949,0.08296455442905426,0.28722164034843445,17,13,13
附件3_09.pkl,Positive,0.8538224101066589,0.03208743780851364,0.06458484381437302,0.9033277034759521,16,12,12
附件3_10.pkl,Neutral,-0.24493375420570374,0.2456137090921402,0.5027992129325867,0.25158703327178955,8,6,6
附件3_11.pkl,Positive,0.46621400117874146,0.041089966893196106,0.27970054745674133,0.6792095303535461,16,10,10
附件3_12.pkl,Positive,0.2335633635520935,0.15720312297344208,0.27681809663772583,0.5659787654876709,15,11,11
附件3_13.pkl,Positive,0.24888497591018677,0.11895877122879028,0.2698391079902649,0.6112020611763,21,17,17
附件3_14.pkl,Negative,-0.5262671709060669,0.7052863240242004,0.19893254339694977,0.09578115493059158,25,21,21
附件3_15.pkl,Positive,1.0092484951019287,0.018323572352528572,0.11954639106988907,0.8621300458908081,29,24,24
附件3_16.pkl,Positive,1.07792067527771,0.017552068457007408,0.039946094155311584,0.9425017833709717,36,30,30
附件3_17.pkl,Positive,0.0009808242321014404,0.2565608322620392,0.3451215326786041,0.3983175754547119,24,14,14
附件3_18.pkl,Positive,0.8852981925010681,0.06448419392108917,0.38284537196159363,0.5526703596115112,19,14,14
附件3_19.pkl,Neutral,0.3465787172317505,0.1384543627500534,0.5089530944824219,0.3525925278663635,26,17,17
附件3_20.pkl,Negative,0.07000090181827545,0.4145629405975342,0.36597228050231934,0.2194647639989853,50,34,34
附件3_21.pkl,Positive,-0.14550095796585083,0.18470749258995056,0.31032899022102356,0.5049635171890259,11,6,6
附件3_22.pkl,Positive,-0.03162884712219238,0.24313846230506897,0.13063958287239075,0.6262218952178955,19,13,13
附件3_23.pkl,Positive,0.12041133642196655,0.02688656561076641,0.2216951549053192,0.7514182329177856,15,9,9
附件3_24.pkl,Positive,0.15152466297149658,0.22440049052238464,0.19957177340984344,0.5760277509689331,10,6,6
附件3_25.pkl,Positive,0.7183099389076233,0.09263419359922409,0.2751709818840027,0.6321948766708374,11,7,7
附件3_26.pkl,Positive,0.4965468645095825,0.045318782329559326,0.14594130218029022,0.8087399005889893,24,16,16
附件3_27.pkl,Positive,0.617607831954956,0.03166601434350014,0.05235984921455383,0.9159741997718811,23,13,13
附件3_28.pkl,Positive,0.2635052800178528,0.018573077395558357,0.17986512184143066,0.8015618324279785,35,22,22
附件3_29.pkl,Positive,-0.04107540845870972,0.12330850213766098,0.17416810989379883,0.7025233507156372,20,10,10
附件3_30.pkl,Positive,0.6745975017547607,0.09803090989589691,0.20138221979141235,0.7005869150161743,26,12,12
